   0.000   10.000    5.000    5.000 0.000
   0.100   10.400    5.551    5.454   -0.097
   0.200   10.800    6.003    6.400    0.397
   0.300   11.200    6.358    6.312   -0.045
   0.400   11.600    6.614    6.424   -0.190
   0.500   12.000    6.773    6.651   -0.121
   0.600   12.400    6.833    6.708   -0.125
   0.700   12.800    6.796    6.531   -0.265
   0.800   13.200    6.660    7.004    0.344
   0.900   13.600    6.427    6.735    0.309
   1.000   14.000    6.095    6.285    0.189
   1.100   14.400    5.666    5.764    0.098
   1.200   14.800    5.138    5.234    0.096
   1.300   15.200    4.513    4.909    0.397
   1.400   15.600    3.789    3.708   -0.081
   1.500   16.000    2.968    2.219   -0.749
   1.600   16.400    2.048    2.474    0.426
   1.700   16.800    1.031    1.620    0.590
   1.800   17.199   -0.085    0.422    0.507
   1.900   17.599   -1.298   -1.366   -0.067
